[10-Jun-2014 23:43:27 Europe/Berlin] PHP Fatal error:  Class 'UtilConexion' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 27
[10-Jun-2014 16:47:08 America/Bogota] PHP Fatal error:  Call to a member function fetchAll() on a non-object in C:\xampp\htdocs\stop\modelo\HistorialVehiculo.php on line 25
[24-Jun-2014 20:14:17 America/Bogota] PHP Fatal error:  Class 'mysql_connect' not found in C:\xampp\htdocs\stop\modelo\Conexion.php on line 16
[25-Jun-2014 20:52:44 America/Bogota] PHP Fatal error:  Class 'ModeloVerRutas' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:24:24 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:25:09 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:25:26 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:31:31 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:32:25 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:32:51 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:33:02 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:33:38 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:33:42 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:33:51 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:34:00 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:34:08 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:34:41 America/Bogota] PHP Fatal error:  Class 'CtrlCategoria' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:43:27 America/Bogota] PHP Fatal error:  Class 'CtrlRuta' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 11:44:20 America/Bogota] PHP Fatal error:  Class 'CtrlRuta' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 36
[27-Jun-2014 12:40:55 America/Bogota] PHP Fatal error:  Unsupported operand types in C:\xampp\htdocs\stop\modelo\Categoria.php on line 31
[11-Jul-2014 19:22:40 Europe/Berlin] PHP Fatal error:  Class 'UtilConexion' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 27
[11-Jul-2014 19:22:58 Europe/Berlin] PHP Fatal error:  Class 'UtilConexion' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 27
[11-Jul-2014 19:29:44 Europe/Berlin] PHP Fatal error:  Class 'UtilConexion' not found in C:\xampp\htdocs\stop\controlador\fachada.php on line 27
[12-Jul-2014 10:58:08 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 10:59:35 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:04:50 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:04:56 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:05:00 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:06:58 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:07:35 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:09:00 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:09:47 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:10:52 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:11:30 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:11:32 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[12-Jul-2014 11:11:32 Europe/Berlin] PHP Fatal error:  Call to undefined method Empresa::getIdEmpresa() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:13:19 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:14:47 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:14:59 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:17:57 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:18:00 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:18:00 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
